,id,n_victimas,fecha,hora,hh,dirección normalizada,tipo_de_calle,comuna,pos x,pos y,victima,acusado
172,2017-0037,1,2017-03-31,03:00:00,3.0,"independencia av. y cevallos, virrey",avenida,1,-58.38896772,-34.61799615,moto,cargas
173,2017-0038,1,2017-04-01,19:00:00,19.0,castaã‘ares av. y lautaro,avenida,7,-58.44516857,-34.64363363,moto,auto
174,2017-0040,1,2017-04-03,09:40:00,9.0,"guiraldes, int. 2699",avenida,13,-58.43834197,-34.54560369,auto,multiple
175,2017-0041,1,2017-04-03,23:15:00,23.0,"fernandez moreno, baldomero 2186",calle,7,-58.45485084,-34.63531854,moto,auto
176,2017-0042,1,2017-04-10,09:00:00,9.0,"lugones, leopoldo av.",gral paz,14,,,moto,cargas
177,2017-0045,1,2017-04-14,06:15:00,6.0,nogoya 5940,calle,10,-58.52449285,-34.62454175,moto,objeto fijo
178,2017-0047,1,2017-04-23,06:30:00,6.0,argentina av. y corvalan,avenida,8,-58.46713742,-34.6719879,moto,auto
179,2017-0049,1,2017-04-27,18:16:00,18.0,"fernandez de la cruz, f., gral. av. y varela av.",avenida,8,-58.43850413,-34.65554754,peaton,pasajeros
180,2017-0050,2,2017-04-28,11:08:08,11.0,,autopista,9,,,moto,cargas
181,2017-0051,1,2017-05-01,03:47:47,3.0,,autopista,7,,,auto,auto
182,2017-0052,1,2017-05-05,03:40:00,3.0,"paz, gral. av. y goleta santa cruz",gral paz,8,-58.49413799,-34.68095739,peaton,cargas
183,2017-0053,1,2017-05-05,20:16:22,20.0,vieytes y villarino,calle,4,-58.37547846,-34.65326075,moto,cargas
184,2017-0054,1,2017-05-07,21:00:00,21.0,"de los constituyentes av. y moran, pedro",avenida,15,-58.48680218,-34.58689719,moto,auto
185,2017-0055,1,2017-05-09,08:30:00,8.0,de los constituyentes av. 4900,avenida,12,-58.49563989,-34.57962262,auto,auto
186,2017-0058,1,2017-05-09,23:10:00,23.0,cordoba av. y libertad,avenida,1,-58.38403232,-34.5991594,peaton,moto
187,2017-0059,1,2017-05-11,09:24:00,9.0,brasil y lima,calle,1,-58.38223382,-34.62693865,peaton,pasajeros
188,2017-0060,1,2017-05-13,07:20:00,7.0,"escalada av. y fernandez de la cruz, f., gral. av.",avenida,8,-58.45966521,-34.67323292,moto,objeto fijo
189,2017-0061,1,2017-05-15,13:29:30,13.0,paraguay y callao av.,avenida,2,-58.39303911,-34.59871111,peaton,moto
190,2017-0062,1,2017-05-15,16:00:00,16.0,"justo, juan b. av. y san blas",avenida,10,-58.51262106,-34.63395999,moto,cargas
191,2017-0063,1,2017-05-17,10:13:00,10.0,chile y 9 de julio av.,avenida,1,-58.38118367,-34.61646839,peaton,pasajeros
192,2017-0064,1,2017-05-20,05:00:00,5.0,"maipu y peron, juan domingo, tte. general",calle,1,-58.37653284,-34.60582475,cargas,auto
193,2017-0065,1,2017-05-22,16:00:00,16.0,suarez av. y herrera,avenida,4,-58.37709334,-34.64035082,bicicleta,cargas
194,2017-0066,1,2017-05-22,18:10:00,18.0,san martin av. y fragata pres. sarmiento,avenida,15,-58.46002142,-34.60409469,peaton,pasajeros
195,2017-0067,1,2017-05-23,02:45:00,2.0,"directorio av. y moreno, jose maria av.",avenida,6,-58.4338197,-34.62801894,moto,cargas
196,2017-0068,1,2017-05-27,19:50:00,19.0,"rabanal, francisco, intendente av. 2950",avenida,8,-58.43580656,-34.66437532,moto,objeto fijo
197,2017-0069,1,2017-05-24,14:15:00,14.0,"paz, gral. av. y schmidl, ulrico",gral paz,9,-58.52173071,-34.65997463,moto,
198,2017-0070,1,2017-05-30,13:20:00,13.0,nueva york 3696,calle,11,-58.50791763,-34.59804273,peaton,auto
199,2017-0072,1,2017-06-03,23:20:00,23.0,de los constituyentes av. y vallejos,avenida,12,-58.49175088,-34.58226957,auto,auto
200,2017-0073,1,2017-06-04,09:00:00,9.0,corrientes av. y ecuador,avenida,3,-58.40781467,-34.60425669,moto,auto
201,2017-0074,1,2017-06-04,12:50:00,12.0,casco 133,calle,9,-58.52567073,-34.63787791,,
202,2017-0075,1,2017-06-12,22:38:00,22.0,de mayo av. y 9 de julio av.,avenida,1,-58.381542,-34.60906385,peaton,moto
203,2017-0076,1,2017-06-13,14:50:00,14.0,"castillo, ramon s., pres. av. y calle 12 (no oficial)",avenida,2,-58.38526125,-34.5780581,peaton,cargas
204,2017-0077,1,2017-06-17,23:45:00,23.0,fray justo santamaria de oro 1930,calle,14,-58.42934104,-34.58451712,moto,cargas
205,2017-0079,1,2017-06-19,16:26:00,16.0,mexico y dean funes,calle,3,-58.40657493,-34.61781124,moto,cargas
206,2017-0080,1,2017-06-22,10:15:00,10.0,"alberdi, juan bautista av. y escalada av.",avenida,9,-58.49525314,-34.64487785,peaton,cargas
207,2017-0082,1,2017-06-25,22:40:00,22.0,entre rios av. y brasil,avenida,4,-58.39092851,-34.62932696,peaton,auto
208,2017-0083,1,2017-07-04,00:25:00,0.0,"alberdi, juan bautista av. y guardia nacional",avenida,9,-58.49603546,-34.64564271,moto,cargas
209,2017-0084,1,2017-07-05,12:49:00,12.0,del libertador av. y rodriguez peã‘a,avenida,2,-58.38502878,-34.58703485,peaton,pasajeros
210,2017-0085,1,2017-07-07,14:15:00,14.0,"tacuari y garcia, martin av.",avenida,4,-58.37261143,-34.63150425,peaton,pasajeros
211,2017-0086,1,2017-07-09,07:30:00,7.0,rivadavia av. y murguiondo,avenida,9,-58.51876802,-34.63905965,peaton,moto
212,2017-0087,1,2017-07-10,10:45:00,10.0,24 de noviembre 390,calle,3,-58.41095567,-34.61516101,peaton,auto
213,2017-0088,1,2017-07-10,22:30:00,22.0,paseo colon av. y brasil av.,avenida,1,-58.36797542,-34.62519403,peaton,pasajeros
214,2017-0089,1,2017-07-13,12:05:00,12.0,"leguizamon, martiniano 901",calle,9,-58.51514709,-34.64787051,,auto
215,2017-0090,1,2017-07-15,05:15:00,5.0,"chivilcoy av. y paz, gral. av.",gral paz,11,-58.51925642,-34.59171721,peaton,auto
216,2017-0091,1,2017-07-15,13:00:00,13.0,"superi y paz, gral. av.",gral paz,12,-58.48671535,-34.54321216,moto,
217,2017-0092,1,2017-07-24,22:16:01,22.0,autopista 25 de mayo y autopista 1 sur presidente arturo frondizi,autopista,1,-58.38268809,-34.62282019,peaton,auto
