id,fecha,año,mes,día,hora,hh,dirección,tipo de calle,comuna,xy (caba),pos x,pos y,participantes,acusado,rol acusado,n_victimas,victima,sexo,edad,fecha fallecimiento,día semana,barrios
2017-0047,2017-04-23,2017,4,23,06:30:00,6.0,argentina av. y corvalan,avenida,8,point (99648.31069819 95261.11808541),-58.46713742,-34.67198790,moto-auto,auto,conductor,1,moto,masculino,37.0,2017-04-23,domingo,villa lugano - villa riachuelo - villa soldati
2017-0049,2017-04-27,2017,4,27,18:16:00,18.0,"fernandez de la cruz, f., gral. av. y varela av.",avenida,8,point (102273.01728657 97084.66236498),-58.43850413,-34.65554754,peaton-pasajeros,pasajeros,peaton,1,peaton,masculino,22.0,2017-04-27,jueves,villa lugano - villa riachuelo - villa soldati
2017-0052,2017-05-05,2017,5,5,03:40:00,3.0,"paz, gral. av. y goleta santa cruz",gral paz,8,point (97173.99360188 94265.65054023),-58.49413799,-34.68095739,peaton-cargas,cargas,peaton,1,peaton,femenino,47.0,2017-05-05,viernes,villa lugano - villa riachuelo - villa soldati
2017-0060,2017-05-13,2017,5,13,07:20:00,7.0,"escalada av. y fernandez de la cruz, f., gral. av.",avenida,8,point (100333.14201607 95123.00813458),-58.45966521,-34.67323292,moto-objeto fijo,objeto fijo,pasajero_acompañante,1,moto,masculino,30.0,2017-05-13,sábado,villa lugano - villa riachuelo - villa soldati
2017-0068,2017-05-27,2017,5,27,19:50:00,19.0,"rabanal, francisco, intendente av. 2950",avenida,8,point (102520.03961549 96105.29592085),-58.43580656,-34.66437532,moto-objeto fijo,objeto fijo,conductor,1,moto,masculino,32.0,2017-05-27,sábado,villa lugano - villa riachuelo - villa soldati
2017-0123,2017-10-10,2017,10,10,01:05:38,1.0,albariã‘o y argentina av.,avenida,8,point (99518.38660571 95241.63338177),-58.46855503,-34.67216349,peaton-auto,auto,peaton,1,peaton,femenino,36.0,2017-10-10,martes,villa lugano - villa riachuelo - villa soldati
2017-0125,2017-10-13,2017,10,13,06:12:20,6.0,"fernandez de la cruz, f., gral. av. y larraya",avenida,8,point (99732.19478660 94453.36361177),-58.46622247,-34.67926929,moto-objeto fijo,objeto fijo,conductor,1,moto,masculino,29.0,2017-10-13,viernes,villa lugano - villa riachuelo - villa soldati
2017-0126,2017-10-14,2017,10,14,06:15:00,6.0,riestra av. y caã‘ada de gomez,avenida,8,point (98466.20276785 94207.42419155),-58.48003734,-34.68148508,auto-objeto fijo,objeto fijo,pasajero_acompañante,2,auto,masculino,39.0,,sábado,villa lugano - villa riachuelo - villa soldati
2017-0126,2017-10-14,2017,10,14,06:15:00,6.0,riestra av. y caã‘ada de gomez,avenida,8,point (98466.20276785 94207.42419155),-58.48003734,-34.68148508,auto-objeto fijo,objeto fijo,conductor,2,auto,masculino,36.0,2017-10-14,sábado,villa lugano - villa riachuelo - villa soldati
2017-0132,2017-10-30,2017,10,30,14:00:00,14.0,"cosquin y roca, cnel. av.",avenida,8,point (99796.45945783 92847.91633262),-58.46552171,-34.69374130,moto-pasajeros,pasajeros,conductor,1,moto,masculino,23.0,2017-10-30,lunes,villa lugano - villa riachuelo - villa soldati
2017-0134,2017-11-06,2017,11,6,18:00:00,18.0,"roca, cnel. av. 3555",avenida,8,point (101915.86954232 95727.75538814),-58.44239720,-34.66777987,peaton-pasajeros,pasajeros,peaton,1,peaton,femenino,47.0,2017-11-06,lunes,villa lugano - villa riachuelo - villa soldati
2017-0139,2017-11-19,2017,11,19,22:30:00,22.0,"roca, cnel. av. y escalada av.",avenida,8,point (101160.07257435 94368.23344193),-58.45064148,-34.68003614,auto-objeto fijo,objeto fijo,pasajero_acompañante,1,auto,femenino,15.0,2017-11-19,domingo,villa lugano - villa riachuelo - villa soldati
2017-0144,2017-11-26,2017,11,26,06:45:00,6.0,"roca, cnel. av. y paz, gral. av.",gral paz,8,point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,auto-objeto fijo,objeto fijo,pasajero_acompañante,1,auto,femenino,50.0,2017-11-26,domingo,villa lugano - villa riachuelo - villa soldati
2018-0012,2018-01-26,2018,1,26,13:30:00,13.0,"oliden y chilavert, martiniano, coronel",calle,8,point (99466.65991849 94317.70888094),-58.46912006,-34.68049201,moto-pasajeros,pasajeros,conductor,1,moto,masculino,20.0,2018-01-26,viernes,villa lugano - villa riachuelo - villa soldati
2018-0020,2018-02-19,2018,2,19,22:00:00,22.0,"fernandez de la cruz f., gral. av. y autopista presidente hector j. campora",autopista,8,point (101207.19032483 96015.90575056),-58.45012957,-34.66518343,moto-cargas,cargas,conductor,1,moto,masculino,26.0,2018-02-19,lunes,villa lugano - villa riachuelo - villa soldati
2018-0072,2018-07-11,2018,7,11,13:15:00,13.0,autopista dellepiane luis tte. gral. y montiel,autopista,8,point (98224.62123059 93867.97738800),-58.48267426,-34.68454456,moto-cargas,cargas,conductor,1,moto,masculino,27.0,2018-07-13,miércoles,villa lugano - villa riachuelo - villa soldati
2018-0083,2018-08-02,2018,8,2,05:20:00,5.0,"paz, gral. av. y fernandez de la cruz, f., gral. av.",gral paz,8,point (98491.08733048 93092.87943671),-58.47976785,-34.69153196,moto-cargas,cargas,conductor,1,moto,masculino,,2018-08-02,jueves,villa lugano - villa riachuelo - villa soldati
2018-0090,2018-08-18,2018,8,18,10:34:00,10.0,27 de febrero av. y pergamino,avenida,8,point (102791.00899168 95424.06973029),-58.43284809,-34.67051543,moto-auto,auto,conductor,1,moto,masculino,27.0,2018-08-18,sábado,villa lugano - villa riachuelo - villa soldati
2018-0096,2018-08-31,2018,8,31,22:20:00,22.0,"autopista presidente hã‰ctor j. cãmpora y roca, cnel. av.",autopista,8,point (101692.57924565 95312.63822646),-58.44483258,-34.67152226,peaton-auto,auto,peaton,1,peaton,masculino,39.0,2018-08-31,viernes,villa lugano - villa riachuelo - villa soldati
2018-0097,2018-09-02,2018,9,2,10:50:00,10.0,"varela av. y rabanal, francisco, intendente av.",avenida,8,point (102819.52927414 96448.46140692),-58.43254025,-34.66128115,auto-movil,otro,conductor,1,auto,femenino,35.0,2018-09-02,domingo,villa lugano - villa riachuelo - villa soldati
2018-0098,2018-09-09,2018,9,9,05:00:00,5.0,"paz, gral. av. y beron de astrada",gral paz,8,point (99203.46279192 92552.75548716),-58.47199387,-34.69640164,auto-auto,auto,conductor,2,auto,masculino,55.0,2018-09-09,domingo,villa lugano - villa riachuelo - villa soldati
2018-0098,2018-09-09,2018,9,9,05:00:00,5.0,"paz, gral. av. y beron de astrada",gral paz,8,point (99203.46279192 92552.75548716),-58.47199387,-34.69640164,auto-auto,auto,pasajero_acompañante,2,auto,masculino,54.0,2018-09-09,domingo,villa lugano - villa riachuelo - villa soldati
2018-0116,2018-11-01,2018,11,1,10:50:00,10.0,"paz, gral. av. 14800",gral paz,8,point (97213.03214767 94392.58930391),-58.49371157,-34.67981324,peaton-cargas,cargas,peaton,1,peaton,masculino,48.0,2018-11-08,jueves,villa lugano - villa riachuelo - villa soldati
2018-0119,2018-11-05,2018,11,5,22:35:00,22.0,"rabanal, francisco, intendente av. y san pedrito",avenida,8,point (102489.86457298 96266.15892101),-58.43613623,-34.66292532,peaton-sd,,peaton,1,peaton,femenino,32.0,2018-11-06,lunes,villa lugano - villa riachuelo - villa soldati
2018-0122,2018-11-12,2018,11,12,01:00:00,1.0,autopista dellepiane luis tte. gral. y larrazabal,autopista,8,point (98704.10681045 95222.62689520),-58.47743966,-34.67233407,auto-auto,auto,conductor,1,auto,masculino,33.0,2018-11-12,lunes,villa lugano - villa riachuelo - villa soldati
2019-0008,2019-01-30,2019,1,30,22:45:00,22.0,"paz, gral. av. 16080",gral paz,8,point (98650.97430792 93088.91481914),-58.47802293,-34.69156793,multiple,multiple,conductor,1,moto,masculino,42.0,2019-01-31,miércoles,villa lugano - villa riachuelo - villa soldati
2019-0012,2019-02-17,2019,2,17,03:16:00,3.0,"castaã‘ares av. y gordillo, timoteo",avenida,8,point (98072.98959434 94742.80804806),-58.48432691,-34.67665828,moto-auto,auto,conductor,1,moto,masculino,31.0,2019-02-20,domingo,villa lugano - villa riachuelo - villa soldati
2019-0026,2019-03-28,2019,3,28,07:32:00,7.0,"fernandez de la cruz, f., gral. av. y paz, gral. av.",avenida,8,point (98491.08733048 93092.87943671),-58.47976785,-34.69153196,peaton-pasajeros,pasajeros,peaton,1,peaton,masculino,,2019-03-28,jueves,villa lugano - villa riachuelo - villa soldati
2019-0029,2019-04-07,2019,4,7,10:15:00,10.0,"fernandez de la cruz, f., gral. av. y paz, gral. av.",avenida,8,point (98491.08733048 93092.87943671),-58.47976785,-34.69153196,moto-objeto fijo,objeto fijo,conductor,1,moto,masculino,27.0,2019-04-07,domingo,villa lugano - villa riachuelo - villa soldati
2019-0053,2019-06-14,2019,6,14,17:20:00,17.0,asturias av. y castaã‘ares av.,avenida,8,point (99896.72991309 96585.69018400),-58.46442668,-34.66004784,auto-auto,auto,pasajero_acompañante,1,auto,masculino,49.0,2019-06-14,viernes,villa lugano - villa riachuelo - villa soldati
2019-0068,2019-08-14,2019,8,14,17:40:00,17.0,27 de febrero av. 5600,avenida,8,point (103516.29283702 96305.80102228),-58.42493829,-34.66256502,moto-moto,moto,conductor,1,moto,masculino,53.0,2019-08-14,miércoles,villa lugano - villa riachuelo - villa soldati
2019-0082,2019-09-25,2019,9,25,07:45:00,7.0,"rabanal, francisco, intendente av. 2428",avenida,8,point (103065.99442998 96457.67469916),-58.42985146,-34.66119740,bicicleta-cargas,cargas,ciclista,1,bicicleta,masculino,47.0,2019-09-25,miércoles,villa lugano - villa riachuelo - villa soldati
2020-0006,2020-01-20,2020,1,20,12:55:00,12.0,lafuente av. 2250,avenida,8,point (101287.27262066 97242.60480808),-58.44925765,-34.65412546,moto-cargas,cargas,conductor,1,moto,masculino,23.0,2020-01-20,lunes,villa lugano - villa riachuelo - villa soldati
2020-0027,2020-05-18,2020,5,18,08:00:00,8.0,"dellepiane, luis, tte. gral. y montiel",avenida,8,point (98224.62123059 93867.97738800),-58.48267426,-34.68454456,peaton-cargas,cargas,peaton,1,peaton,masculino,76.0,2020-05-18,lunes,villa lugano - villa riachuelo - villa soldati
2020-0037,2020-08-29,2020,8,29,04:30:00,4.0,"fernandez de la cruz, f., gral. av. y varela av.",avenida,8,point (102273.01728657 97084.66236498),-58.43850413,-34.65554754,peaton-auto,auto,peaton,1,peaton,masculino,38.0,2020-08-29,sábado,villa lugano - villa riachuelo - villa soldati
2020-0042,2020-09-29,2020,9,29,17:10:00,17.0,"diaz, ana y soldado de la frontera av.",avenida,8,point (99619.02595373 94158.58480023),-58.46745752,-34.68192648,peaton-pasajeros,pasajeros,peaton,1,peaton,femenino,53.0,2020-09-29,martes,villa lugano - villa riachuelo - villa soldati
2020-0045,2020-10-19,2020,10,19,03:00:00,3.0,"paz, gral. av. y 27 de febrero av.",gral paz,8,point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,auto-cargas,cargas,conductor,1,auto,masculino,50.0,2020-10-19,lunes,villa lugano - villa riachuelo - villa soldati
2020-0056,2020-11-21,2020,11,21,13:00:00,13.0,"paz, gral. av. y roca, cnel. av.",gral paz,8,point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,moto-cargas,cargas,conductor,1,moto,femenino,34.0,2020-11-21,sábado,villa lugano - villa riachuelo - villa soldati
2020-0073,2020-12-20,2020,12,20,07:40:00,7.0,27 de febrero av. y escalada av.,avenida,8,point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,moto-objeto fijo,objeto fijo,conductor,1,moto,masculino,56.0,2020-12-20,domingo,villa lugano - villa riachuelo - villa soldati
2021-0012,2021-01-29,2021,1,29,20:07:22,20.0,"dellepiane, luis, tte. gral. y guamini",autopista,8,point (98294.52407931 93943.96825453),-58.48191128,-34.68385968,peaton-auto,auto,peaton,1,peaton,masculino,,2021-01-29,viernes,villa lugano - villa riachuelo - villa soldati
2021-0016,2021-02-14,2021,2,14,05:50:00,5.0,"fernandez de la cruz, f., gral. av. y de la torre, lisandro",avenida,8,point (99175.17507833 93836.79626465),-58.47230127,-34.68482689,auto-objeto fijo,objeto fijo,conductor,1,auto,masculino,22.0,2021-02-14,domingo,villa lugano - villa riachuelo - villa soldati
2021-0025,2021-03-11,2021,3,11,03:45:00,3.0,"paz, gral. av. y autopista dellepiane luis tte. gral.",gral paz,8,point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,moto-otro,otro,conductor,1,moto,masculino,37.0,2021-03-11,jueves,villa lugano - villa riachuelo - villa soldati
2021-0035,2021-05-03,2021,5,3,09:20:00,9.0,"janer, ana maria y lafuente av.",avenida,8,point (101547.14246919 96946.08308197),-58.44642231,-34.65679806,moto-cargas,cargas,conductor,1,moto,masculino,24.0,2021-05-03,lunes,villa lugano - villa riachuelo - villa soldati
2021-0049,2021-06-03,2021,6,3,20:30:00,20.0,"fernandez de la cruz, f., gral. av. 4000",avenida,8,point (100842.91519469 95589.55734164),-58.45410344,-34.66902702,auto-auto,auto,conductor,1,auto,masculino,74.0,2021-06-03,jueves,villa lugano - villa riachuelo - villa soldati
2021-0052,2021-06-20,2021,6,20,05:40:00,5.0,"paz, gral. av. 14723",gral paz,8,point (97067.24775528 94359.84584291),-58.49530249,-34.68010798,moto-objeto fijo,objeto fijo,pasajero_acompañante,1,moto,femenino,19.0,2021-06-20,domingo,villa lugano - villa riachuelo - villa soldati
2021-0070,2021-08-28,2021,8,28,08:30:00,8.0,"chilavert, martiniano, coronel y varela av.",avenida,8,point (102171.86474787 97177.81588434),-58.43960781,-34.65470804,moto-cargas,cargas,conductor,1,moto,masculino,31.0,2021-08-28,sábado,villa lugano - villa riachuelo - villa soldati
2016-0002,2016-01-02,2016,1,2,01:15:00,1.0,"paz, gral. av. y de los corrales av.",gral paz,9,point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,auto-pasajeros,pasajeros,conductor,1,auto,masculino,70.0,2016-01-02,sábado,liniers - mataderos - parque avellaneda
2016-0010,2016-01-29,2016,1,29,15:20:00,15.0,"paz, gral. av. y de los corrales av.",gral paz,9,point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,moto-auto,auto,conductor,1,moto,masculino,18.0,2016-01-29,viernes,liniers - mataderos - parque avellaneda
2016-0019,2016-02-17,2016,2,17,09:30:00,9.0,"de la torre, lisandro y garcia grande de zequeira, severo",calle,9,point (95727.37083199 97179.35560349),-58.50990884,-34.65468721,peaton-pasajeros,pasajeros,peaton,1,peaton,femenino,65.0,2016-02-17,miércoles,liniers - mataderos - parque avellaneda
2016-0080,2016-06-18,2016,6,18,06:42:00,6.0,"paz, gral. av. y rivadavia av.",gral paz,9,point (93950.50587297 98883.37644525),-58.52927982,-34.63931752,auto-sd,,conductor,1,auto,masculino,60.0,,sábado,liniers - mataderos - parque avellaneda
2016-0101,2016-08-07,2016,8,7,19:42:00,19.0,"paz, gral. av. y chavez, jorge",gral paz,9,point (93946.81673714 97681.68907836),-58.52932872,-34.65014993,sd-sd,,,1,,masculino,67.0,,domingo,liniers - mataderos - parque avellaneda
2016-0102,2016-08-10,2016,8,10,23:37:00,23.0,"peron, eva av. y suarez, jose leon",avenida,9,point (96625.80612216 95129.90776954),-58.50011639,-34.67316502,moto-cargas,cargas,conductor,1,moto,masculino,29.0,,miércoles,liniers - mataderos - parque avellaneda
2016-0104,2016-08-14,2016,8,14,21:15:00,21.0,zinny y santiago de compostela av.,avenida,9,point (99720.41444035 97007.69579491),-58.46635001,-34.65624369,moto-pasajeros,pasajeros,conductor,1,moto,masculino,21.0,2016-08-15,domingo,liniers - mataderos - parque avellaneda
2016-0109,2016-08-24,2016,8,24,05:45:00,5.0,autopista perito moreno y barragan,autopista,9,point (94544.31344300 99185.28796442),-58.52280139,-34.63659934,auto-objeto fijo,objeto fijo,conductor,1,auto,femenino,53.0,2016-08-24,miércoles,liniers - mataderos - parque avellaneda
2016-0110,2016-08-24,2016,8,24,20:21:00,20.0,"alberdi, juan bautista av. y carhue",avenida,9,point (95506.35959227 96696.89655626),-58.51232237,-34.65903530,peaton-sd,,peaton,1,peaton,masculino,57.0,,miércoles,liniers - mataderos - parque avellaneda
2016-0113,2016-08-27,2016,8,27,16:45:00,16.0,"alberdi, juan bautista av. y guardia nacional",avenida,9,point (96998.81124177 98183.20743664),-58.49603546,-34.64564271,peaton-pasajeros,pasajeros,peaton,1,peaton,femenino,60.0,,sábado,liniers - mataderos - parque avellaneda
2016-0122,2016-09-13,2016,9,13,07:10:00,7.0,"peron, eva av. 4233",avenida,9,point (99150.75069529 97484.46650280),-58.47256391,-34.65194557,bicicleta-pasajeros,pasajeros,ciclista,1,bicicleta,masculino,49.0,2016-09-13,martes,liniers - mataderos - parque avellaneda
2016-0160,2016-12-06,2016,12,6,05:30:00,5.0,autopista perito moreno (altura velez sarsfield),autopista,9,point (94867.91408532 99212.26216105),-58.51927194,-34.63635787,cargas-objeto fijo,objeto fijo,conductor,1,cargas,masculino,29.0,2016-12-06,martes,liniers - mataderos - parque avellaneda
2017-0018,2017-02-09,2017,2,9,07:00:00,7.0,"paz, gral. av. y de los corrales av.",gral paz,9,point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,moto-auto,auto,conductor,1,moto,masculino,30.0,2017-02-09,jueves,liniers - mataderos - parque avellaneda
2017-0029,2017-03-07,2017,3,7,02:15:00,2.0,mozart y tandil,calle,9,point (98009.35575364 97985.81952007),-58.48501341,-34.64742455,sd-auto,auto,,1,,masculino,34.0,2017-03-07,martes,liniers - mataderos - parque avellaneda
2017-0030,2017-03-07,2017,3,7,08:00:00,8.0,mozart y autopista dellepiane luis tte. gral.,avenida,9,point (99375.77435905 96732.87189547),-58.47010988,-34.65872088,auto-pasajeros,pasajeros,conductor,1,auto,femenino,27.0,2017-03-07,martes,liniers - mataderos - parque avellaneda
2017-0050,2017-04-28,2017,4,28,11:08:08,11.0,,autopista,9,point (. .),.,.,moto-cargas,cargas,conductor,2,moto,masculino,46.0,2017-04-28,viernes,liniers - mataderos - parque avellaneda
2017-0050,2017-04-28,2017,4,28,11:08:08,11.0,,autopista,9,point (. .),.,.,moto-cargas,cargas,pasajero_acompañante,2,moto,masculino,16.0,2017-04-28,viernes,liniers - mataderos - parque avellaneda
2017-0069,2017-05-24,2017,5,24,14:15:00,14.0,"paz, gral. av. y schmidl, ulrico",gral paz,9,point (94644.00300729 96592.22735507),-58.52173071,-34.65997463,moto-sd,,conductor,1,moto,masculino,39.0,2017-05-29,miércoles,liniers - mataderos - parque avellaneda
2017-0074,2017-06-04,2017,6,4,12:50:00,12.0,casco 133,calle,9,point (94281.31244858 99043.29027489),-58.52567073,-34.63787791,sd-sd,,,1,,masculino,70.0,2017-06-04,domingo,liniers - mataderos - parque avellaneda
2017-0080,2017-06-22,2017,6,22,10:15:00,10.0,"alberdi, juan bautista av. y escalada av.",avenida,9,point (97070.50716478 98268.08001276),-58.49525314,-34.64487785,peaton-cargas,cargas,peaton,1,peaton,femenino,95.0,2017-06-22,jueves,liniers - mataderos - parque avellaneda
2017-0083,2017-07-04,2017,7,4,00:25:00,0.0,"alberdi, juan bautista av. y guardia nacional",avenida,9,point (96998.81124177 98183.20743664),-58.49603546,-34.64564271,moto-cargas,cargas,conductor,1,moto,masculino,37.0,2017-07-04,martes,liniers - mataderos - parque avellaneda
2017-0086,2017-07-09,2017,7,9,07:30:00,7.0,rivadavia av. y murguiondo,avenida,9,point (94914.28538682 98912.56901137),-58.51876802,-34.63905965,peaton-moto,moto,peaton,1,peaton,femenino,30.0,2017-07-09,domingo,liniers - mataderos - parque avellaneda
2017-0089,2017-07-13,2017,7,13,12:05:00,12.0,"leguizamon, martiniano 901",calle,9,point (95246.78684010 97935.32361317),-58.51514709,-34.64787051,sd-auto,auto,,1,,masculino,23.0,,jueves,liniers - mataderos - parque avellaneda
2017-0120,2017-10-02,2017,10,2,15:55:33,15.0,autopista dellepiane luis tte. gral. y escalada av.,autopista,9,point (99113.17852207 96319.06728520),-58.47297505,-34.66245085,moto-cargas,cargas,conductor,1,moto,masculino,20.0,2017-10-02,lunes,liniers - mataderos - parque avellaneda
2017-0129,2017-10-26,2017,10,26,19:15:15,19.0,autopista perito moreno y autopista 25 de mayo,autopista,9,point (99243.41866587 97782.67879316),-58.47155277,-34.64925746,moto-pasajeros,pasajeros,conductor,1,moto,masculino,57.0,2017-10-26,jueves,liniers - mataderos - parque avellaneda
